Freq,Burst,BurstBegin,BurstEnd,Degree,Centrality,Sigma,PageRank,Label,Author,Year,Title,Source,Vol,Page,Half-life,DOI,ClusterID
55,0.00,,,62,0.80,1.00,0.00,人工智能,,2017,,,,,,,
25,2.46,2016,2020,38,0.48,2.62,0.00,设计教育,,2016,,,,,,,
19,0.00,,,27,0.27,1.00,0.00,教学改革,,2018,,,,,,,
7,0.00,,,14,0.04,1.00,0.00,设计,,2018,,,,,,,
14,0.00,,,11,0.09,1.00,0.00,艺术设计,,2020,,,,,,,
5,0.00,,,9,0.08,1.00,0.00,工业设计,,2018,,,,,,,
4,0.00,,,8,0.10,1.00,0.00,交互设计,,2017,,,,,,,
3,0.00,,,7,0.01,1.00,0.00,数字化,,2024,,,,,,,
8,0.00,,,7,0.03,1.00,0.00,人才培养,,2018,,,,,,,
2,0.00,,,7,0.06,1.00,0.00,新文科,,2022,,,,,,,
3,0.00,,,7,0.05,1.00,0.00,产品设计,,2023,,,,,,,
3,0.00,,,6,0.01,1.00,0.00,大数据,,2020,,,,,,,
2,0.00,,,6,0.06,1.00,0.00,设计学,,2020,,,,,,,
2,0.00,,,6,0.01,1.00,0.00,创新,,2020,,,,,,,
2,0.00,,,5,0.00,1.00,0.00,包豪斯,,2017,,,,,,,
2,0.00,,,5,0.00,1.00,0.00,挑战,,2019,,,,,,,
2,0.00,,,5,0.01,1.00,0.00,知识图谱,,2024,,,,,,,
2,0.00,,,5,0.04,1.00,0.00,数字孪生,,2022,,,,,,,
2,0.00,,,5,0.00,1.00,0.00,教学模式,,2018,,,,,,,
3,0.00,,,5,0.04,1.00,0.00,设计思维,,2017,,,,,,,
2,0.00,,,5,0.00,1.00,0.00,机遇,,2019,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,生命科学,,2020,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,园林景观,,2024,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,设计类,,2021,,,,,,,
2,0.00,,,4,0.01,1.00,0.00,在线教育,,2020,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,新工科,,2018,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,室内设计,,2024,,,,,,,
2,0.00,,,4,0.08,1.00,0.00,应用策略,,2024,,,,,,,
2,0.00,,,4,0.00,1.00,0.00,教学方法,,2018,,,,,,,
2,0.00,,,4,0.00,1.00,0.00,环境设计,,2024,,,,,,,
2,0.00,,,4,0.00,1.00,0.00,创新设计,,2018,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,培养,,2021,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,范式,,2022,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,路径,,2021,,,,,,,
2,0.00,,,4,0.00,1.00,0.00,教育,,2021,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,艺科融合,,2021,,,,,,,
2,0.00,,,4,0.00,1.00,0.00,智能设计,,2018,,,,,,,
2,0.00,,,4,0.04,1.00,0.00,5g技术,,2023,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,跨学科,,2021,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,健康医疗,,2020,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,社会服务,,2020,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,价值观,,2018,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,产教融合,,2024,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,可视化,,2024,,,,,,,
3,0.00,,,3,0.02,1.00,0.00,应用,,2020,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,新生态,,2023,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,学科建设,,2022,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,设计研究,,2017,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,新时代,,2022,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,科技创新,,2021,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,学科交叉,,2021,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,多向思维,,2020,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,包装设计,,2024,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,自然交互,,2017,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,移动互联,,2018,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,现代主义,,2020,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,双元结构,,2021,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,成果创新,,2024,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,主体性,,2022,,,,,,,
2,0.00,,,3,0.00,1.00,0.00,教学创新,,2024,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,园林设计,,2024,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,广告设计,,2024,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,设计行业,,2019,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,品牌设计,,2024,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,发展,,2019,,,,,,,
2,0.00,,,3,0.02,1.00,0.00,创新创业,,2024,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,智性设计,,2018,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,美术学院,,2020,,,,,,,
2,0.00,,,3,0.00,1.00,0.00,数智时代,,2024,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,创新策略,,2024,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,大艺术观,,2020,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,产业模型,,2020,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,智能制造,,2020,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,影响研究,,2024,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,中国,,2020,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,合作机制,,2023,,,,,,,
3,0.00,,,3,0.00,1.00,0.00,教育创新,,2024,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,开放性,,2020,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,创意,,2024,,,,,,,
2,0.00,,,3,0.00,1.00,0.00,创新路径,,2024,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,数智艺术,,2018,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,教学资源,,2023,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,5g时代,,2020,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,高校,,2022,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,创新意识,,2024,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,海报设计,,2023,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,vr教育,,2023,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,插画设计,,2023,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,发展策略,,2024,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,艺术教学,,2023,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,国际视野,,2022,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,新科技,,2023,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,人机交互,,2024,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,智媒时代,,2022,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,服装设计,,2020,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,新技术,,2018,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,数据驱动,,2022,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,办学特色,,2022,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,知识构建,,2020,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,跨界整合,,2019,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,发展趋势,,2024,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,艺术,,2022,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,伦理挑战,,2024,,,,,,,
2,0.00,,,2,0.00,1.00,0.00,毕业设计,,2024,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,人文底蕴,,2024,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,科技,,2016,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,主题分析,,2024,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,全媒体,,2023,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,用户体验,,2022,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,建筑设计,,2018,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,融合创新,,2016,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,传统文化,,2023,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,移动教育,,2018,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,变革,,2023,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,智慧教育,,2019,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,数字时代,,2023,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,界面设计,,2019,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,实践应用,,2024,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,e课堂,,2019,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,思考,,2020,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,场景体验,,2022,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,实践教学,,2024,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,联合机制,,2022,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,设计变革,,2023,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,传统工艺,,2023,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,钢琴教育,,2023,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,专业课程,,2024,,,,,,,
1,0.00,,,2,0.00,1.00,0.00,互联网+,,2022,,,,,,,
1,0.00,,,1,0.00,1.00,0.00,创客教育,,2018,,,,,,,
1,0.00,,,1,0.00,1.00,0.00,项目制,,2018,,,,,,,
1,0.00,,,1,0.00,1.00,0.00,特征,,2020,,,,,,,
1,0.00,,,1,0.00,1.00,0.00,区块链,,2024,,,,,,,
1,0.00,,,1,0.00,1.00,0.00,融合,,2021,,,,,,,
1,0.00,,,1,0.00,1.00,0.00,职业教育,,2023,,,,,,,
1,0.00,,,1,0.00,1.00,0.00,创新能力,,2022,,,,,,,
1,0.00,,,1,0.00,1.00,0.00,融合教学,,2021,,,,,,,
1,0.00,,,1,0.00,1.00,0.00,美育,,2019,,,,,,,
1,0.00,,,1,0.00,1.00,0.00,智能玩具,,2019,,,,,,,
1,0.00,,,1,0.00,1.00,0.00,大学生,,2024,,,,,,,
1,0.00,,,1,0.00,1.00,0.00,创新性,,2018,,,,,,,
1,0.00,,,1,0.00,1.00,0.00,ai绘画,,2024,,,,,,,
1,0.00,,,1,0.00,1.00,0.00,思政教育,,2024,,,,,,,
1,0.00,,,1,0.00,1.00,0.00,玩具设计,,2019,,,,,,,
1,0.00,,,1,0.00,1.00,0.00,创新教育,,2024,,,,,,,
1,0.00,,,0,0.00,1.00,0.00,以赛促学,,2024,,,,,,,
1,0.00,,,0,0.00,1.00,0.00,三跨,,2024,,,,,,,
1,0.00,,,0,0.00,1.00,0.00,设计教学,,2023,,,,,,,
1,0.00,,,0,0.00,1.00,0.00,专业教育,,2024,,,,,,,
1,0.00,,,0,0.00,1.00,0.00,智能时代,,2023,,,,,,,
1,0.00,,,0,0.00,1.00,0.00,产业技能,,2024,,,,,,,
1,0.00,,,0,0.00,1.00,0.00,产业链,,2024,,,,,,,
1,0.00,,,0,0.00,1.00,0.00,三维建模,,2024,,,,,,,
